soc,lmp,a,total_rwd
0.00,0.00,0,-1.47e+04
0.00,0.00,0,-1.47e+04
0.00,0.00,0,-1.47e+04
0.00,0.00,0,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,2,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,1,-1.47e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,0,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,2,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,1,-1.96e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,0,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,2,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,1,-2.45e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,0,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,2,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,1,-2.94e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,0,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
